DailyQCReport_R0026_20251024_094859


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,428,0,0,2004.993,1.884998,2586.106
Violet,SSC,429,-2,-0.4640371,1989.247,4.586846,13701.53
Blue,SSC-B,134,-3,-2.189781,2009.308,3.428099,13491.1
Violet,V1 (428),379,-3,-0.7853402,597.445,2.150669,972.094
Violet,V2 (443),397,1,0.2525252,1285.739,1.662286,2222.134
Violet,V3 (458),495,-2,-0.4024145,1379.596,1.621731,3031.107
Violet,V4 (473),298,-2,-0.6666667,1241.156,1.652548,3913.954
Violet,V5 (508),384,-6,-1.538462,1061.89,1.572978,3862.268
Violet,V6 (525),338,-1,-0.2949852,760.896,1.604675,2572.282
Violet,V7 (542),452,-6,-1.310044,891.037,1.628116,3021.596
Violet,V8 (581),796,-3,-0.3754693,773.779,1.864305,1668.819
Violet,V9 (598),648,1,0.1545595,775.588,1.658972,1273.217
Violet,V10 (615),502,-2,-0.3968254,1165.572,1.710489,1203.769
Violet,V11 (664),395,-8,-1.985112,520.182,1.845499,500.9976
Violet,V12 (692),341,-5,-1.445087,458.029,1.879734,259.599
Violet,V13 (720),348,-5,-1.416431,520.697,1.780522,159.5973
Violet,V14 (750),546,-4,-0.7272727,464.312,1.937775,133.4181
Violet,V15 (780),640,-1,-0.1560062,499.724,1.917604,83.76516
Violet,V16 (812),547,8,1.48423,574.816,2.571229,36.61345
Blue,B1 (508),626,-24,-3.692308,142.13,2.555629,400.0935
Blue,B2 (525),370,-9,-2.37467,178.677,2.207719,423.1566
Blue,B3 (542),387,-7,-1.77665,546.619,2.247069,1099.149
Blue,B4 (581),375,-9,-2.34375,740.679,2.155169,1322.598
Blue,B5 (598),312,-9,-2.803738,871.449,2.453911,1372.594
Blue,B6 (615),228,-5,-2.145923,936.731,2.488943,1205.698
Blue,B7 (661),410,-17,-3.981265,567.351,2.333736,682.4141
Blue,B8 (679),353,-12,-3.287671,481.673,2.550883,479.692
Blue,B9 (697),470,-18,-3.688525,598.973,2.47703,434.7391
Blue,B10 (717),355,-11,-3.005465,420.523,2.367908,201.9285
Blue,B11 (738),276,-4,-1.428571,278.71,2.245308,140.4204
Blue,B12 (760),386,-7,-1.78117,274.748,2.081704,108.9198
Blue,B13 (783),461,-6,-1.284797,255.818,2.039107,80.86378
Blue,B14 (812),531,-4,-0.7476636,547.919,2.021334,71.69806
Red,R1 (661),238,0,0,420.636,1.814381,1500.876
Red,R2 (679),295,0,0,1098.444,1.998419,2860.103
Red,R3 (697),377,7,1.891892,2032.59,1.674937,2068.194
Red,R4 (717),357,6,1.709402,1985.468,1.675282,1387.898
Red,R5 (738),359,8,2.279202,1644.25,1.781551,1120.983
Red,R6 (760),375,10,2.739726,1451.612,1.897431,852.2098
Red,R7 (783),802,-9,-1.109741,1915.981,2.072107,617.8244
Red,R8 (812),421,17,4.207921,2123.501,2.486736,252.3329


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-28.025,1.036331,0
Blue,0,1.159755,0
Red,27.475,0.9589466,0
FSC Area Scaling Factor,1.17802,Window Extension,2
Flow Rate,16.66
Temperature,20.75
