DailyQCReport_V0333_20260521_085222


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,479,25,5.506608,1997.782,1.196833,320.4167
Violet,SSC,119,0,0,1987.9,3.17848,11817.58
Blue,SSC-B,124,4,3.333333,1997.796,2.935679,11062.68
UV,UV1 (373),634,161,34.03806,223.8015,4.205078,67.09838
UV,UV2 (388),379,89,30.68965,1326.873,3.889131,444.1287
UV,UV3 (428),297,68,29.69432,1008.291,4.942021,1950.614
UV,UV4 (443),276,62,28.97196,883.983,4.915552,2405.414
UV,UV5 (458),356,80,28.98551,948.316,5.05457,3414.073
UV,UV6 (473),495,107,27.57732,1454.341,5.092465,5646.031
UV,UV7 (514),728,162,28.62191,2018.292,5.062589,8424.756
UV,UV8 (542),637,139,27.91165,1552.053,4.772301,3622.732
UV,UV9 (582),801,167,26.34069,2452.559,4.682762,5047.489
UV,UV10 (613),498,110,28.35051,1932.302,4.52446,4984.313
UV,UV11 (664),649,140,27.50491,864.239,4.647381,2563.236
UV,UV12 (692),557,120,27.45996,656.658,4.651345,1486.112
UV,UV13 (720),750,155,26.05042,690.965,4.578755,1289.852
UV,UV14 (750),1453,280,23.87042,795.531,4.700584,1819.876
UV,UV15 (780),1131,219,24.01316,628.4995,4.758624,970.6701
UV,UV16 (812),1572,304,23.97476,420.8865,4.796512,785.7635
Violet,V1 (428),203,5,2.525253,804.3105,0.8601432,910.3661
Violet,V2 (443),249,5,2.04918,1859.485,0.7424533,2237.39
Violet,V3 (458),195,2,1.036269,2154.232,0.8310689,3457.355
Violet,V4 (473),144,1,0.6993007,2204.211,0.7840521,3525.523
Violet,V5 (508),175,-1,-0.5681818,2044.821,0.7099127,3296.364
Violet,V6 (525),154,-2,-1.282051,1530.25,0.6576051,2277.956
Violet,V7 (542),205,-3,-1.442308,2037.269,0.6642178,2424.783
Violet,V8 (581),321,2,0.6269592,2402.082,0.6852856,1483.142
Violet,V9 (598),219,5,2.336449,2306.121,0.7132708,1122.476
Violet,V10 (615),255,11,4.508196,3384.843,0.6120728,972.6213
Violet,V11 (664),194,-4,-2.020202,1330.111,0.711139,438.2165
Violet,V12 (692),174,-2,-1.136364,1024.631,0.7521555,243.0455
Violet,V13 (720),170,-8,-4.494382,1104.171,0.9458183,140.1569
Violet,V14 (750),224,-10,-4.273504,939.4135,1.582482,130.7892
Violet,V15 (780),453,-23,-4.831933,814.037,1.747303,79.27222
Violet,V16 (812),254,-1,-0.3921569,362.255,1.60012,28.20646
Blue,B1 (508),1147,13,1.146384,229.436,1.917524,370.3435
Blue,B2 (525),513,-2,-0.3883495,277.3555,1.504952,423.8979
Blue,B3 (542),426,-5,-1.160093,1062.21,1.310208,1285.727
Blue,B4 (581),408,-4,-0.9708738,1638.155,1.349246,1435.79
Blue,B5 (598),396,-7,-1.736973,1824.214,1.21321,1296.296
Blue,B6 (615),245,0,0,1905.046,1.379705,1278.603
Blue,B7 (661),464,-5,-1.066098,1143.005,1.216426,722.3754
Blue,B8 (679),367,-6,-1.608579,930.022,1.391979,565.7361
Blue,B9 (697),574,-6,-1.034483,1143.573,1.61195,452.6663
Blue,B10 (717),411,-8,-1.909308,767.099,1.573722,232.2432
Blue,B11 (738),244,-5,-2.008032,504.3155,1.68379,131.2216
Blue,B12 (760),342,-9,-2.564103,488.7445,2.326998,107.6236
Blue,B13 (783),608,-17,-2.72,385.322,1.735185,69.85582
Blue,B14 (812),543,-10,-1.808318,386.6695,1.745161,75.9612
Red,R1 (661),151,-1,-0.6578947,388.025,1.723673,1449.235
Red,R2 (679),239,-1,-0.4166667,1081.687,1.75319,3096.7
Red,R3 (697),320,-3,-0.9287925,2005.731,1.551595,2286.564
Red,R4 (717),232,-1,-0.4291846,1918.233,1.532941,1258.426
Red,R5 (738),193,1,0.5208334,1614.568,1.544763,1092.657
Red,R6 (760),278,5,1.831502,1408.58,2.399273,799.1865
Red,R7 (783),510,-8,-1.544402,1579.869,1.576118,576.5659
Red,R8 (812),220,1,0.456621,775.0685,2.348042,239.3541


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.1,1.182201,64.505
Blue,0,1.141324,82.42751
Red,19.9,1.0741,72.608
UV,39.65,0.81839,0
FSC Area Scaling Factor,1.224909,Window Extension,3
Flow Rate,10.13
Temperature,19.88
