DailyQCReport_U1368_20250206_102228


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,394,0,0,2024.283,2.07633,1296.112
Violet,SSC,146,1,0.6896552,1996.519,4.661094,10813.82
Blue,SSC-B,108,-22,-16.92308,2015.67,3.805789,11307.82
UV,UV1 (373),943,31,3.399123,298.49,3.348732,48.34791
UV,UV2 (388),264,9,3.529412,2028.342,1.523936,444.6259
UV,UV3 (428),206,2,0.9803922,1531.148,1.481799,1358.697
UV,UV4 (443),154,7,4.761905,1246.046,1.731217,1782.899
UV,UV5 (458),193,5,2.659575,1210.734,1.922632,2563.969
UV,UV6 (473),237,9,3.947368,1547.326,1.931934,4230.525
UV,UV7 (514),375,16,4.456824,1713.31,2.012497,6384.474
UV,UV8 (542),293,7,2.447552,1034.342,1.963591,3318.39
UV,UV9 (582),358,12,3.468208,1365.466,1.8384,2850.819
UV,UV10 (613),249,7,2.892562,1233.203,1.638451,3415.303
UV,UV11 (664),303,5,1.677852,581.388,1.572975,1774.457
UV,UV12 (692),286,3,1.060071,491.248,1.592171,994.9763
UV,UV13 (720),410,3,0.7371007,542.305,1.699169,901.3481
UV,UV14 (750),697,3,0.4322767,646.1,1.835636,1251.288
UV,UV15 (780),560,-3,-0.5328597,596.121,1.822421,723.1951
UV,UV16 (812),729,-9,-1.219512,839.717,2.597154,500.8681
Violet,V1 (428),134,7,5.511811,603.255,1.91758,1326.08
Violet,V2 (443),247,15,6.465517,1272.117,1.785335,2918.449
Violet,V3 (458),221,11,5.238095,1371.699,1.629003,3583.842
Violet,V4 (473),147,8,5.755396,1232.744,1.619409,3831.195
Violet,V5 (508),175,11,6.707317,1059.782,1.566724,3600.588
Violet,V6 (525),179,9,5.294118,762.989,1.604363,2725.764
Violet,V7 (542),236,12,5.357143,895.326,1.572701,2696.304
Violet,V8 (581),294,13,4.626335,766.601,1.653081,1498.714
Violet,V9 (598),262,12,4.8,770.237,1.573745,1151.184
Violet,V10 (615),295,13,4.609929,1173.2,1.621081,1060.06
Violet,V11 (664),223,7,3.240741,510.139,2.180339,465.6005
Violet,V12 (692),186,5,2.762431,458.618,2.382536,255.5645
Violet,V13 (720),177,4,2.312139,518.921,2.475562,155.5954
Violet,V14 (750),241,6,2.553191,462.691,2.562398,118.0219
Violet,V15 (780),419,12,2.948403,496.166,2.824651,73.74916
Violet,V16 (812),293,4,1.384083,559.69,3.517328,30.76587
Blue,B1 (508),546,-11,-1.974865,142.915,2.182043,417.1867
Blue,B2 (525),334,-4,-1.183432,177.695,1.879495,405.8026
Blue,B3 (542),333,-4,-1.186944,537.017,1.824415,1050.841
Blue,B4 (581),311,-6,-1.892745,735.01,1.611416,1310.147
Blue,B5 (598),233,-3,-1.271186,864.83,1.830967,1367.751
Blue,B6 (615),229,-2,-0.8658009,921.068,1.984379,1114.912
Blue,B7 (661),485,-10,-2.020202,561.596,2.030918,526.4879
Blue,B8 (679),342,-4,-1.156069,482.93,2.378118,490.946
Blue,B9 (697),459,-6,-1.290323,591.02,2.493814,419.2255
Blue,B10 (717),413,-9,-2.132701,411.677,2.64449,215.4847
Blue,B11 (738),287,-6,-2.047782,272.945,2.726711,136.711
Blue,B12 (760),278,-7,-2.45614,270.678,2.762012,106.5549
Blue,B13 (783),422,-9,-2.088167,250.166,2.952159,76.61134
Blue,B14 (812),503,-11,-2.140078,535.272,3.32654,72.19067
YellowGreen,YG1 (577),405,2,0.4962779,911.41,1.276926,1375.444
YellowGreen,YG2 (598),404,9,2.278481,1824.182,1.432322,1313.465
YellowGreen,YG3 (615),257,3,1.181102,2664.341,1.444311,2029.04
YellowGreen,YG4 (661),475,4,0.8492569,1531.589,1.571809,1460.244
YellowGreen,YG5 (679),377,1,0.2659574,1341.947,1.79099,1367.213
YellowGreen,YG6 (697),455,3,0.6637168,1511.039,1.663508,742.0379
YellowGreen,YG7 (720),302,-2,-0.6578947,2088.726,1.768224,777.2078
YellowGreen,YG8 (750),273,-3,-1.086957,1073.854,1.88543,407.5132
YellowGreen,YG9 (780),362,-4,-1.092896,1030.963,1.866841,254.3067
YellowGreen,YG10 (812),377,-1,-0.2645503,1204.537,2.449572,111.3806
Red,R1 (661),145,-3,-2.027027,413.762,1.873227,1166.503
Red,R2 (679),150,-1,-0.6622517,1096.176,1.982442,1904.635
Red,R3 (697),209,-5,-2.336449,2015.034,1.626214,1571.302
Red,R4 (717),204,-4,-1.923077,1964.179,1.692823,916.2598
Red,R5 (738),158,-4,-2.469136,1617.451,1.728613,1072.295
Red,R6 (760),147,-3,-2,1424.267,1.710657,753.4965
Red,R7 (783),257,-5,-1.908397,1883.638,1.719154,626.137
Red,R8 (812),170,-2,-1.162791,2100.891,2.228193,252.9483


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.675,1.116767,51.3475
Violet,-19.525,1.093127,93.08501
Blue,0,1.175273,82.42751
Red,19.925,1.049124,74.564
UV,39.47499,1.127594,0
FSC Area Scaling Factor,1.188473,Window Extension,3
Flow Rate,20.04
Temperature,26.62
